,kind,domain,votes,source,title,published_at,slug,currencies,id,url,created_at
0,news,bitcoinist.com,"{'negative': 1, 'positive': 19, 'important': 6, 'liked': 11, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 1, 'comments': 5}","{'title': 'Bitcoinist', 'region': 'en', 'domain': 'bitcoinist.com', 'path': None}",Supply Shock: The Number Of Bitcoin Changing Hands Dips To 2015 Levels,2021-09-15T19:00:46Z,Supply-Shock-The-Number-Of-Bitcoin-Changing-Hands-Dips-To-2015-Levels,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12784160,https://cryptopanic.com/news/12784160/Supply-Shock-The-Number-Of-Bitcoin-Changing-Hands-Dips-To-2015-Levels,2021-09-15T19:00:46Z
1,news,cryptopotato.com,"{'negative': 3, 'positive': 9, 'important': 3, 'liked': 7, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}",Fidelity Urges The SEC to Greenlight Its Bitcoin ETF Application,2021-09-15T18:35:02Z,Fidelity-Urges-The-SEC-to-Greenlight-Its-Bitcoin-ETF-Application,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12784058,https://cryptopanic.com/news/12784058/Fidelity-Urges-The-SEC-to-Greenlight-Its-Bitcoin-ETF-Application,2021-09-15T18:35:02Z
2,news,u.today,"{'negative': 3, 'positive': 1, 'important': 3, 'liked': 3, 'disliked': 2, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 3}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}",Elon Musk and Vitalik Buterin Among TIME's 100 Most Influential People of 2021,2021-09-15T17:56:00Z,Elon-Musk-and-Vitalik-Buterin-Among-TIMEs-100-Most-Influential-People-of-2021,,12783938,https://cryptopanic.com/news/12783938/Elon-Musk-and-Vitalik-Buterin-Among-TIMEs-100-Most-Influential-People-of-2021,2021-09-15T17:56:00Z
3,news,decrypt.co,"{'negative': 15, 'positive': 9, 'important': 4, 'liked': 7, 'disliked': 6, 'lol': 3, 'toxic': 0, 'saved': 0, 'comments': 5}","{'title': 'Decrypt', 'region': 'en', 'domain': 'decrypt.co', 'path': None}","Solana Sputters Back to Life Following Downtime, Network Restart",2021-09-15T17:15:33Z,Solana-Sputters-Back-to-Life-Following-Downtime-Network-Restart,"[{'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",12783814,https://cryptopanic.com/news/12783814/Solana-Sputters-Back-to-Life-Following-Downtime-Network-Restart,2021-09-15T17:15:33Z
4,news,bitcoinmagazine.com,"{'negative': 6, 'positive': 1, 'important': 3, 'liked': 2, 'disliked': 2, 'lol': 1, 'toxic': 0, 'saved': 0, 'comments': 3}","{'title': 'Bitcoin Magazine', 'region': 'en', 'domain': 'bitcoinmagazine.com', 'path': None}","In Denouncing Bitcoin, Mozilla Undermines Ethical Web Principles",2021-09-15T17:12:53Z,In-Denouncing-Bitcoin-Mozilla-Undermines-Ethical-Web-Principles,,12783810,https://cryptopanic.com/news/12783810/In-Denouncing-Bitcoin-Mozilla-Undermines-Ethical-Web-Principles,2021-09-15T17:12:53Z
5,news,theblockcrypto.com,"{'negative': 5, 'positive': 1, 'important': 3, 'liked': 0, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'The Block', 'region': 'en', 'domain': 'theblockcrypto.com', 'path': None}",Bittrex Global’s CEO says the exchange company is exploring safe havens in light of regulatory tightening,2021-09-15T16:10:19Z,Bittrex-Globals-CEO-says-the-exchange-company-is-exploring-safe-havens-in-light-of-regulatory-tightening,,12783602,https://cryptopanic.com/news/12783602/Bittrex-Globals-CEO-says-the-exchange-company-is-exploring-safe-havens-in-light-of-regulatory-tightening,2021-09-15T16:10:19Z
6,news,cryptobriefing.com,"{'negative': 31, 'positive': 2, 'important': 14, 'liked': 6, 'disliked': 7, 'lol': 9, 'toxic': 0, 'saved': 2, 'comments': 12}","{'title': 'CryptoBriefing', 'region': 'en', 'domain': 'cryptobriefing.com', 'path': None}",OpenSea Employee Found Insider NFT Trading,2021-09-15T15:50:45Z,OpenSea-Employee-Found-Insider-NFT-Trading,,12783555,https://cryptopanic.com/news/12783555/OpenSea-Employee-Found-Insider-NFT-Trading,2021-09-15T15:50:45Z
7,news,finbold.com,"{'negative': 3, 'positive': 21, 'important': 14, 'liked': 16, 'disliked': 1, 'lol': 4, 'toxic': 0, 'saved': 3, 'comments': 7}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}","Institutional investors increasingly put focus on altcoins, new study shows",2021-09-15T15:43:06Z,Institutional-investors-increasingly-put-focus-on-altcoins-new-study-shows,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12783496,https://cryptopanic.com/news/12783496/Institutional-investors-increasingly-put-focus-on-altcoins-new-study-shows,2021-09-15T15:43:06Z
8,news,cryptopotato.com,"{'negative': 5, 'positive': 0, 'important': 3, 'liked': 0, 'disliked': 2, 'lol': 1, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}","Despite The Pressure from Coinbase, Estonia Would Not Open Its Doors for Bitcoin Yet",2021-09-15T15:35:37Z,Despite-The-Pressure-from-Coinbase-Estonia-Would-Not-Open-Its-Doors-for-Bitcoin-Yet,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12783465,https://cryptopanic.com/news/12783465/Despite-The-Pressure-from-Coinbase-Estonia-Would-Not-Open-Its-Doors-for-Bitcoin-Yet,2021-09-15T15:35:37Z
9,news,u.today,"{'negative': 4, 'positive': 17, 'important': 10, 'liked': 18, 'disliked': 3, 'lol': 4, 'toxic': 0, 'saved': 3, 'comments': 15}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}",Dogecoin Rival Shiba Inu Starts Trading on Binance.US,2021-09-15T15:12:00Z,Dogecoin-Rival-Shiba-Inu-Starts-Trading-on-BinanceUS,"[{'code': 'DOGE', 'title': 'Dogecoin', 'slug': 'dogecoin', 'url': 'https://cryptopanic.com/news/dogecoin/'}, {'code': 'SHIB', 'title': 'Shiba Inu', 'slug': 'shiba-inu', 'url': 'https://cryptopanic.com/news/shiba-inu/'}]",12783401,https://cryptopanic.com/news/12783401/Dogecoin-Rival-Shiba-Inu-Starts-Trading-on-BinanceUS,2021-09-15T15:12:00Z
10,news,beincrypto.com,"{'negative': 7, 'positive': 36, 'important': 10, 'liked': 23, 'disliked': 4, 'lol': 1, 'toxic': 0, 'saved': 5, 'comments': 11}","{'title': 'BeInCrypto', 'region': 'en', 'domain': 'beincrypto.com', 'path': None}",Golden Cross for Bitcoin (BTC) – Continuation of Bull Run or False Signal?,2021-09-15T14:49:02Z,Golden-Cross-for-Bitcoin-BTC-Continuation-of-Bull-Run-or-False-Signal,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12783339,https://cryptopanic.com/news/12783339/Golden-Cross-for-Bitcoin-BTC-Continuation-of-Bull-Run-or-False-Signal,2021-09-15T14:49:02Z
11,news,cryptobriefing.com,"{'negative': 19, 'positive': 10, 'important': 3, 'liked': 7, 'disliked': 11, 'lol': 8, 'toxic': 0, 'saved': 1, 'comments': 5}","{'title': 'CryptoBriefing', 'region': 'en', 'domain': 'cryptobriefing.com', 'path': None}",Solana Rallies Following 18-Hour Outage,2021-09-15T14:38:48Z,Solana-Rallies-Following-18-Hour-Outage,"[{'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",12783287,https://cryptopanic.com/news/12783287/Solana-Rallies-Following-18-Hour-Outage,2021-09-15T14:38:48Z
12,news,cryptopotato.com,"{'negative': 6, 'positive': 35, 'important': 19, 'liked': 32, 'disliked': 2, 'lol': 2, 'toxic': 0, 'saved': 1, 'comments': 5}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}",Bitcoin Golden Cross Just Took Place: What Does it Mean and What’s Next for BTC?,2021-09-15T14:02:46Z,Bitcoin-Golden-Cross-Just-Took-Place-What-Does-it-Mean-and-Whats-Next-for-BTC,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12783200,https://cryptopanic.com/news/12783200/Bitcoin-Golden-Cross-Just-Took-Place-What-Does-it-Mean-and-Whats-Next-for-BTC,2021-09-15T14:02:46Z
13,news,theblockcrypto.com,"{'negative': 2, 'positive': 13, 'important': 9, 'liked': 12, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 2}","{'title': 'The Block', 'region': 'en', 'domain': 'theblockcrypto.com', 'path': None}",More than $1 billion worth of ether has been burned since Ethereum’s London upgrade,2021-09-15T14:00:59Z,More-than-1-billion-worth-of-ether-has-been-burned-since-Ethereums-London-upgrade,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",12783204,https://cryptopanic.com/news/12783204/More-than-1-billion-worth-of-ether-has-been-burned-since-Ethereums-London-upgrade,2021-09-15T14:00:59Z
14,news,u.today,"{'negative': 3, 'positive': 22, 'important': 6, 'liked': 21, 'disliked': 4, 'lol': 2, 'toxic': 0, 'saved': 4, 'comments': 9}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}",Cathie Wood's ARK Dumps $66 Million of Tesla Shares for More Stocks of Robinhood Crypto Platform,2021-09-15T13:46:11Z,Cathie-Woods-ARK-Dumps-66-Million-of-Tesla-Shares-for-More-Stocks-of-Robinhood-Crypto-Platform,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}, {'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}]",12783126,https://cryptopanic.com/news/12783126/Cathie-Woods-ARK-Dumps-66-Million-of-Tesla-Shares-for-More-Stocks-of-Robinhood-Crypto-Platform,2021-09-15T13:46:11Z
15,news,cryptopotato.com,"{'negative': 6, 'positive': 19, 'important': 10, 'liked': 13, 'disliked': 3, 'lol': 8, 'toxic': 0, 'saved': 5, 'comments': 30}","{'title': 'Feed - Cryptopotato.Com', 'region': 'en', 'domain': 'cryptopotato.com', 'path': None}","Ray Dalio: If Bitcoin Succeeds, Regulators and Governments Will Try to Kill It",2021-09-15T13:18:40Z,Ray-Dalio-If-Bitcoin-Succeeds-Regulators-and-Governments-Will-Try-to-Kill-It,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12782998,https://cryptopanic.com/news/12782998/Ray-Dalio-If-Bitcoin-Succeeds-Regulators-and-Governments-Will-Try-to-Kill-It,2021-09-15T13:18:40Z
16,news,finbold.com,"{'negative': 1, 'positive': 5, 'important': 4, 'liked': 3, 'disliked': 1, 'lol': 0, 'toxic': 0, 'saved': 2, 'comments': 0}","{'title': 'Finbold', 'region': 'en', 'domain': 'finbold.com', 'path': None}",3 reasons why Canaan stock (CAN) might be a good buy in September,2021-09-15T12:45:43Z,3-reasons-why-Canaan-stock-CAN-might-be-a-good-buy-in-September,"[{'code': 'BTC', 'title': 'Bitcoin', 'slug': 'bitcoin', 'url': 'https://cryptopanic.com/news/bitcoin/'}]",12782869,https://cryptopanic.com/news/12782869/3-reasons-why-Canaan-stock-CAN-might-be-a-good-buy-in-September,2021-09-15T12:45:43Z
17,news,blockworks.co,"{'negative': 16, 'positive': 10, 'important': 8, 'liked': 8, 'disliked': 8, 'lol': 7, 'toxic': 0, 'saved': 1, 'comments': 7}","{'title': 'Blockworks', 'region': 'en', 'domain': 'blockworks.co', 'path': None}",Solana Recovers After 10-hour Outage,2021-09-15T12:38:03Z,Solana-Recovers-After-10-hour-Outage,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}]",12782827,https://cryptopanic.com/news/12782827/Solana-Recovers-After-10-hour-Outage,2021-09-15T12:38:03Z
18,news,zycrypto.com,"{'negative': 1, 'positive': 6, 'important': 3, 'liked': 7, 'disliked': 0, 'lol': 0, 'toxic': 0, 'saved': 0, 'comments': 0}","{'title': 'ZyCrypto', 'region': 'en', 'domain': 'zycrypto.com', 'path': None}",“Big-Four” Accounting Firm EY Joins Forces With Polygon To Scale Ethereum,2021-09-15T11:33:05Z,Big-Four-Accounting-Firm-EY-Joins-Forces-With-Polygon-To-Scale-Ethereum,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'MATIC', 'title': 'Polygon', 'slug': 'matic-network', 'url': 'https://cryptopanic.com/news/matic-network/'}]",12782632,https://cryptopanic.com/news/12782632/Big-Four-Accounting-Firm-EY-Joins-Forces-With-Polygon-To-Scale-Ethereum,2021-09-15T11:33:05Z
19,news,u.today,"{'negative': 19, 'positive': 10, 'important': 10, 'liked': 12, 'disliked': 6, 'lol': 5, 'toxic': 0, 'saved': 2, 'comments': 21}","{'title': 'U.Today', 'region': 'en', 'domain': 'u.today', 'path': None}","Solana (SOL) Slammed by Gavin Wood: Do ""Big TPS Numbers"" Matter?",2021-09-15T10:56:22Z,Solana-SOL-Slammed-by-Gavin-Wood-Do-Big-TPS-Numbers-Matter,"[{'code': 'ETH', 'title': 'Ethereum', 'slug': 'ethereum', 'url': 'https://cryptopanic.com/news/ethereum/'}, {'code': 'SOL', 'title': 'Solana', 'slug': 'solana', 'url': 'https://cryptopanic.com/news/solana/'}, {'code': 'DOT', 'title': 'Polkadot', 'slug': 'polkadot', 'url': 'https://cryptopanic.com/news/polkadot/'}, {'code': 'KSM', 'title': 'Kusama', 'slug': 'kusama', 'url': 'https://cryptopanic.com/news/kusama/'}]",12782512,https://cryptopanic.com/news/12782512/Solana-SOL-Slammed-by-Gavin-Wood-Do-Big-TPS-Numbers-Matter,2021-09-15T10:56:22Z
